original_userID,indexed_userID
1790974.0,1
1225124.0,2
1616606.0,3
122587.0,4
243540.0,5
1160226.0,6
1793594.0,7
1015690.0,8
1635119.0,9
1007403.0,10
1893646.0,11
1052117.0,12
1536552.0,13
1660686.0,14
1444025.0,15
1299177.0,16
1827931.0,17
1946723.0,18
1433353.0,19
1323412.0,20
465321.0,21
1805297.0,22
1294822.0,23
1847499.0,24
550644.0,25
1281677.0,26
22262.0,27
1344908.0,28
1410213.0,29
1935910.0,30
1949328.0,31
533860.0,32
1976127.0,33
1628651.0,34
1964705.0,35
1835892.0,36
548650.0,37
174170.0,38
1772194.0,39
93574.0,40
794676.0,41
1502448.0,42
1593546.0,43
457271.0,44
1496122.0,45
1956732.0,46
1772760.0,47
506480.0,48
1896254.0,49
809956.0,50
179906.0,51
682378.0,52
685482.0,53
1698823.0,54
1632933.0,55
464710.0,56
1865969.0,57
1857448.0,58
1860015.0,59
1640070.0,60
1414141.0,61
564791.0,62
1865056.0,63
507241.0,64
1367750.0,65
1897669.0,66
1830163.0,67
199196.0,68
1668171.0,69
212508.0,70
248162.0,71
1631121.0,72
1625095.0,73
1976700.0,74
1882748.0,75
949471.0,76
1245011.0,77
1900203.0,78
1774638.0,79
452585.0,80
1508605.0,81
130246.0,82
548672.0,83
1884097.0,84
1329074.0,85
488515.0,86
1096293.0,87
1148937.0,88
228895.0,89
1904216.0,90
1812273.0,91
465737.0,92
1748895.0,93
1913820.0,94
435172.0,95
454435.0,96
20804.0,97
1916887.0,98
1609554.0,99
1852349.0,100
1855626.0,101
1334521.0,102
1935199.0,103
1885245.0,104
1463029.0,105
163868.0,106
1679627.0,107
1301383.0,108
1847271.0,109
542619.0,110
134335.0,111
489783.0,112
1949960.0,113
1748992.0,114
1868461.0,115
2088.0,116
506930.0,117
1600791.0,118
1816735.0,119
1521610.0,120
1367276.0,121
1656321.0,122
1722678.0,123
1957645.0,124
1963782.0,125
1637394.0,126
1333869.0,127
1919393.0,128
1829761.0,129
1834976.0,130
1619159.0,131
1959980.0,132
1818894.0,133
1824797.0,134
1846151.0,135
1853196.0,136
1954015.0,137
1731545.0,138
1893851.0,139
1467353.0,140
1732294.0,141
805306.0,142
1880146.0,143
1788970.0,144
1847957.0,145
1516898.0,146
