original_itemID,indexed_itemID
3301,1
24300865411,2
922,3
98000100356,4
312546627499,5
17082885852,6
72030023717,7
821,8
52000707786,9
125,10
77170122429,11
7013,12
18200967214,13
18200610479,14
11000000037,15
72030011912,16
34100573416,17
200,18
3302,19
26200101439,20
88,21
71990170370,22
12000001130,23
77170119979,24
11000002871,25
496,26
83,27
75767200246,28
609249902023,29
34100576363,30
684746400067,31
34100003876,32
88004041847,33
41548825533,34
52000047905,35
41780190291,36
823,37
74804071887,38
921,39
49000007640,40
3303,41
70847898245,42
73100008764,43
611269332827,44
73390055165,45
883315090276,46
70847017707,47
609249902016,48
12000016431,49
12000001291,50
70847811169,51
12000030284,52
42100008715,53
70847811244,54
28200003638,55
609249901033,56
73100001079,57
77900118562,58
613008756482,59
811374039707,60
71700139215,61
12000005596,62
12000003622,63
613008756420,64
73010214095,65
71700040214,66
26200117508,67
90600000845,68
90600000692,69
90600000166,70
78908222367,71
71421110005,72
400,73
850016944214,74
858176002324,75
70847898146,76
76183323786,77
49000053418,78
855712008789,79
41780271839,80
240,81
7214,82
18200250019,83
12000001314,84
40000592785,85
611269001624,86
611269818994,87
3304,88
44000047009,89
29000074460,90
27086184325,91
757528046361,92
48500205983,93
71700023019,94
26100005752,95
30100125181,96
12000002243,97
18200059902,98
38000282584,99
62067051623,100
12000002946,101
78800113954,102
609249920225,103
635985245957,104
29000075399,105
305730169202,106
815154021418,107
714433016131,108
71990000486,109
12000809941,110
18200532184,111
49000072389,112
8421440184,113
28200003843,114
18200250132,115
840045200696,116
11000002918,117
5290,118
18200069918,119
635985802891,120
76840100477,121
70847894087,122
788434106757,123
34000002290,124
42100002942,125
7244,126
38000848940,127
78800113923,128
810030512257,129
44000029524,130
784762071002,131
714433016469,132
714433016285,133
609249903020,134
71990480240,135
24300807657,136
635985100164,137
3305,138
71990320003,139
80,140
41311121046,141
12000221514,142
76183323571,143
829274454186,144
49000000443,145
295,146
75720000616,147
77900513725,148
87692019046,149
762446493555,150
883990651205,151
28400769655,152
613008756468,153
818094005746,154
93,155
12000286223,156
40000004608,157
86400000222,158
75767200697,159
49000072372,160
801,161
24300837869,162
889392021417,163
84114032607,164
26200392905,165
52000135190,166
11000000631,167
62110954727,168
18200004261,169
34000000357,170
76840100583,171
71537060348,172
78000033519,173
28400770569,174
90600000852,175
25900207465,176
78000013283,177
18200008016,178
810085816898,179
611269113570,180
78000152463,181
608707004798,182
76940297046,183
819721011772,184
12000002977,185
76183323632,186
714433016391,187
76183323748,188
714433016452,189
888849011308,190
308,191
38000845253,192
613008752200,193
786162040008,194
28400695688,195
482990113739,196
62110955281,197
